Buddhist monk's robe	jia-; sha-
thinking	si-we/i; si-xia\/ng; jue/
tilt	qi-ngxie/
torture	a/ojia-n
transport channel	chua/nshu-to-ngda\o
try to defend oneself	bia\nba/i
unanimous	qua/ncha\/ngyi-zhi\; yi-zhi\
universal	pu\/bia\n; pu\/ji/; pu\/
upstanding	zhe\ngzhi/
vend	yu\
virtual connection	xu-ni\/lia/njie-
ware	qi\ju\
well	he\/nha\/o; a-nha\/o; ha\/o; ji\/ng
whole story	yua/nwe\/i
withdraw	che\hui/; tui\bi\; che\; to withdraw: suo-; tui\chu-; che\
wound	chua-ng; sha-ng
zero	li/ng
British person	yi-ngguo/re/n
Far East	yua\/ndo-ng
Laos	la\/owo-; lia/o
Santa Claus	she\ngda\nla\/ore/n
abdomen	fu\; fu\bu\; du\zi
acidity	sua-nxi\ng
advocate	gu\/chui-zhe\/; zho\ngba\/o; to advocate: zhu\/zha-ng; ti/cha-ng
all of a sudden	sha\; hu-ra/n
anchor	di\ng; ma/o; to anchor: bo/
apostrophe	she\/nglue\fu/ha\o
aroused to indignation	ji-a/ng
assumption	yi\ce\
autonomy	zi\zhi\
banker	yi/nha/ngjia-
be attached	fu\
be insufferably arrogant	bu\ke\/yi-shi\
be unrelated	me/iyo\/ulia/nxi\
below	xia\mian; yi\/xia\; za\izhi-xia\; xia\; xia\mian
black silk	zi-
bookshelf	shu-jia\
break faith with somebody	be\ixi\nqi\yi\
bucket	shui\/to\/ng; sha-o
cable	dia\nba\o; <television yo\/uxia\n
capsized	fu\mo\
cathedral	da\jia\ota/ng
character 8	ba-zi\
churchman	jia\oshi\
clogged	pi\/
colorful	fu\se\ca\/i; wu\/ca\/ibi-nfe-n
comparatively	bi\/jia\o
confer on	bi\
contemptible	be-ibi\/
correct oneself	ga\/iko\/u
create out of the imagination	bia-nza\o
curium	ju/
data communication	shu\ju\to-ngxi\n
deep valley	qia\n
depth	she-ndu\
die suddenly	ba\ozu/
discussion forum	ya/nta\/ohui\; ta\/olu\nhui\
dizzy	to/uyu-n; xua\n; yu\n
draw water from well	ji/
dysprosium	di-
eight points of the compass	ba-fa-ng
employee	gu\yua/n; gu\yua/n
entreat	a-iqiu/
everyday clothes	bia\nfu/
expert commentary	zhua-njia-pi/nglu\n
fairy	xia-nnu; lia\/ng
feed pigs and dogs	hua\n
filament	si-zhua\ngwu\
first wife	di/
fluent	liu/li\; cha\ng
fore	qia/nmian
frame relay network	xu\nkua\ngchua/nso\ngwa\/nglu\
furnish	go-ngge\/i; to furnish: ti/go-ng
gentry	mi/ngliu/
given name	qiu-
gold medal	ji-npa/i
great acts	we\/iji-
gun salute	<eg, 21-gun salute li\/pa\o
harm	su\/nha\i; fa/ng; sha-ngha\i; bi\; ha\i; to harm: su\/nsha-ng; su\/nha\i; we-iha\i; su\/n; wu\
hear told	ti-ngshuo-
high and steep	yi\
home town chicken	<a type of dish jia-xia-ngji-
hum	he-ng; he-ngshe-ng; to hum: yi/n
ill	she-ngbi\ng; bu\sha\n
in all	go\ngyo\/u
incandescence	ba/ichi\; ba/ire\
inferior	di-de\/ng; lie\; lie\shi\; be-i; ruo\
instead	da\iti\; fa\/ne/r
intuition	zhi/jue/
its	jue/
keep in order	chi\
ladder	jie-ti-; ti-
latter two	ho\ulia\/ngzhe\/
legendary wolf	be\i
lighthouse	a\nbia-o; de-ngta\/
lock up	suo\/
loud	ga-oshe-ng
maid servant	bi\
make peace	go\uhe/
mark	ba-n; bia-omi/ng; bia-oshi/; fu/; ji-xia\ng; ba\/; bia-oji\; bia-ozhi\; fu/ha\o; ji-; zhi\; to mark: bia-o
medical expertise	yi-lia/oji-ngya\n
middle-aged	zho-ngnia/n
misunderstanding	wu\jie\/; wu\hui\
morphine	ma\/
multitaksing	duo-go-ngzuo\ye\
naturally	zi\ra/n
news report	me/iti\/ba\oda\/o
north frigid zone	be\/iha/nda\i
not serious	bu\ya\oji\/n; pa/i
nut	jia-nguo\/
oil	shi/yo/u; yo/u
only a few years ago	zhi\/bu\guo\ji\/nia/nqia/n
original meaning	be\/nyi\
overlook sb's past mistakes	bu\jiu\ji\wa\/ng
parapet	pi/
pay an official call	ba\ihui\
perform sacrifice	jia\o
picket	jiu-cha/
platinum	ba/iji-n; bo/
politically unaffiliated	wu/da\/ngpa\i
praise	za\nya/ng; jia-xu\/; to praise: ba-o; bia\/oya/ng; che-ngza\n; so\ng; za\n
prices	<commodity wu\jia\
propagate	gua\/ngchua/n; to propagate: chua/nbo-
pulp of fruit	ra/ng
question	<truth or validity zhi\yi/; xu\n; pa/o
rash	ca-oqie\; zhe\/nzi
recollect	hui/yi\
reject	bi\n; bi\nchi\; bo/hui/; pa/ichi\; pa\n; ba\chu\; ba\ofe\i; bi\/ng; to reject: tu\/qi\; ju\jue/
reporter	ji\zhe\/
return	cho/nghui/; gui-hua/n; hui/lai; hui/qu; tui\hua/n; <to cho/ngfa\/n; fa\/nhui/; hui/ba\o; to return: gui-; <to previous condition hui/gui-; to return <to>: fa\/n
ro wish for	xi-wa\ng
rum	tia/njiu\/
sandwich	sa-nmi/ngzhi\
scourge	za-iha\i
seen from the outside	co/ngwa\ibia\/ola/ika\n
serve a prison sentence	fu/xi/ng
shed	pe/ng; sa\nchu-; to shed: tuo-; <tears ta\/ng
shrewd	dia-o; mi\/njie/
singlemode fiber	da-nmo/gua-ngxia-n
slumber	shui\mia/n
sofa	sha-fa-
sovereign	ju\yo\/uzhu\/qua/n
spirit	ba/iga-ne/r
stalwart	ji\ng
steep bank	xu/n; tuo/
strain spirits	xu\/
submerged	ya-n; yi-n
superintendent	jia-ndu-re/n
swing	qia-n; qiu-; ba\/ido\ng; to swing: ba\/i
take part in	ca-n; yu\; to take part in: cha-
teardrop	le\ishui\/
thank	xie\xie; xie\
this month	zhe\ige\yue\; be\/nyue\
tiny	we-ixi/ng; xi\xia\/o; we-i; xia\/o
towards America	<policy, etc. dui\me\/i
treasurer	ca/iwu\mi\shu-
turbulent	bu\we\/ndi\ngqi\liu/
uncommon	xi-yo\/u
unmentionable disease	a\nji/
use on	yo\ngyu/
version	<someone's>; <of events shuo-fa; ba\/nbe\/n; ba\/n
vital breath	qi\
wastrel	ba\ijia-zi\/; la\ngzi\/
what bad luck	za-oga-o
width	fu/du\; kua-ndu\; fu/
witty	ji-zhi\; fe-ngqu\
write a letter	xie\/xi\n
AIDS patient	a\izi-bi\nghua\nzhe\/
Catholic church	tia-nzhu\/jia\o
Gestapo	ga\ishi\ta\iba\/o
Mexican	mo\xi-ge-re/n
Soviet Union	su-lia/n
abortion	re/ngo-ngliu/cha\/n
act servilely	be-igo-ngqu-jie/
afterwards	ho\ula/i; ci\/ho\u; zhi-ho\u
allocate	zhi-pe\i; to allocate: pe\ibe\i; fe-npe\i
anger	fe\i; ka\i
application platform	yi\ngyo\ngpi/ngta/i
artful	dia-o
at ease	yo-u
award an honor	sho\uxu-n
barium	be\i
be connected	yo\/ulia/nxi\
be obstructed	bu\to-ng; cuo\
beans and grain	bu\bo/shu-su\
bessemerizing of matte	liu/
blaze of fire	ye\
born unlucky	bo/mi\ng
breath out	hu-
bulletin	to-ngba\o; go-ngba\o
calipash	bie-qu/n
cardholder	chi/ka\/re/n
cease to be faithful	bia\nsi-n
cheap trick	ba\/xi\
cite	yi\/nzhe\ng; yi\/nyo\ng; yua/nyi\/n; to cite: ju\/; <in dispatches bia\/ozha-ng
cloth	<cotton bu\; bu\bo/shu-su\
come over	guo\lai
compile	bia-nxie\/; bia-nza\o; bia-nzhu\; bia-nzua\/n; zua\/n; bia-nji/; bia-nxua\/n; zhua\n; zhua\n; bia-n; to compile: hui\ji/; <fashion through writing xie\/che/ng
confused	du\n; gu\/; hu/n; kui\; ro/ng; yu-n; yu/n
contractor	che/ngba-ore/n; ba-ogo-ng
cough	ke/; so\u; to cough: ke/sou; <blood luo\
criminal	xi/ngshi\; zui\fa\n; fa\nre/n
custom	fe-ngsu/; gui-ju; xi/gua\n; fe-ng
day of a month	ha\o
deficient	qia\n
desolate and uninhabited	hua-ngwu/re/nya-n
dignified	cho/ng; ya\/n
dismantle	cha-ixie\
doctor	bo/shi\; da\i; da\ifu; yi-she-ng; yi-shi-
drifter	pia-obo/
earnings	sho-uyi\
eldest brother	me\ng
encoffin a corpse	bi\n
equally matched	bu\xia-ngsha\ngxia\
exaltation	cha-oshe-ng
express one's thanks	da/xie\
falter	ya/ohua\ng; shua-itui\
feel with the hand	mo-
filter	lubo-qi\; luqi\; to filter: guo\lu; sha-i; sha-ixua\/n
fit well	<clothes ke\/she-n
focused on one thing	zhua-n
foreskin	ba-opi/
freezer	bi-ngxia-ng
gall bladder	da\/n
get away with it	bu\yi-
glide	hua/xia/ng
good-for-nothing or queer character	ba\/obe\i
greet	zhi\ji\ng; to greet: yi/ngjie-; <by raising the joined hands yi-
hairpin for bun	ji-
haughtiness	a\oqi\
heavily in debt	fu\zha\ile\/ile\/i
high-ranking	ga-oji/
honor-bound	shi\yue-
hundred per cent	bu\zhe/bu\ko\u
imitate	fa\/ng; mo/; mo/; mo/; mo/fa\/ng; xia\o; to imitate: fa\/ng; mo/fa\/ng
in former times	na\/ng
incompatible	bu\xia-ngro/ng; rui\zuo\
information agency	xi-nwe/nchu\
integrityto hold	ca-o
investor	to/uzi-zhe\/
jersey	ma/ozhi-yu\ndo\ngsha-n
keycap	jia\nma\o
land on the moon	de-nglu\yue\qiu/
laxative	xie\ya\o
lesson	ke\ye\; ke\; ke\
line of reasoning	lu\ndia\/n
lollipop	ba\ngta/ng
low level	di-ce/ng; di-jie-; si-ji/
maintain	ba\/oqua/n; bi\/ng; a-ndi\ng; we/ihu\; to maintain: ba\/ochi/; we/i; we/ichi/; ba\/o; <that something is true re\ndi\ng
make weaker	ruo\hua\
martial	wu\/; jie/
megaphone	kuo\yi-nqi\
military commander	bi-ngjia-
mode	mo/shi\; zhua\ngta\i; fa-ngshi\; <music dia\o
motherland	zu\/guo/
music of such operas	ba-ngzi\/qia-ng
neck area of the body	ji\/ngbu\
nickel	nie\; wu\/fe-nme\/iji-n
not appeal to refined taste	bu\de-ngda\ya\/zhi-ta/ng
not to one's liking	bu\zho-ngyi\
oblique attack	<brush movement in painting ce\fe-ng
old version	jiu\ba\/n
open-hearted	ta\/n
other person involved	dui\fa-ng
owe	jie\zha\i; qia\n; bu-
part on bad terms	bu\hua-ne/rsa\n
peaceful and carefree	a-nxia/n
perplexed	yi/ng
piles	zhi\
pleasantly	yu/kua\i
populace	mi/nzho\ng
predicative	bia\/oyu\/
prior	xia-n; yu\xia-n; shi\xia-n
prospects	<future qia/nji\/ng; qia/ntu/
purge	su\qi-ng; to purge: qi-ngxi\/
quoted price	ba\ojia\
razor	ti\da-o
red lacquer	xiu-
relieve	<someone of their duties jie\/chu/; <the distressed zhe\n
rescue	da-jiu\; qia\/ngjiu\; yi/ngjiu\; to rescue: zhe\/ngjiu\; jiu\
revive	su-; su-
rocky	we/i
rung of ladder	gua\ng
save from damage	ba\/oqua/n
sculptor	dia-oke\jia-
selfish interest	<one's own si-li\
set up	she\; she\li\; she\zhi\; a-npa/i; jia\n; li\; a-nshe\; che/ngli\; jia\nli\
shine	fa-gua-ng; fa-lia\ng; zha\oshe\; to shine: ga\/o; zha\o
sick person	bi\ngre/n
sixtieth	di\liu\shi/
small part	yi\xia\/obu\fen
sole of foot	zhi/
spare time	kongr4; ye\yu/
spoke of a wheel	fu/
standardization	bia-ozhu\/nhua\
step up	jia-ji\/n
stream or canal	qu/
subterranean	sui\
support of sb	ba\ncha\ng
symptom	<of a disease bi\ngxia\ng; bi\ngzhe-ng; bi\ngzhua\ng; <of an illness zhe\ngzhua\ng
take up or devote space	pia-nfu
telephone	dia\nhua\
the greater military areas	ge\da\ju-nqu-
thrash	bia-nda\/
to the greatest extent	ji\/nlia\ng
trade	<commercial ma\oyi\; ma\o; sha-ngye\; go-ng; to trade: yi/ngye\; yi/ng
trenchant	bia-npi\ru\li\/
turtle shell	bie-jia\/
undersized	a\/ixia\/o
unrest	<social or political do\ngda\ng
utterance	fa-ya/n
vestage	yi/ji-
vote of no-confidence	bu\xi\nre\nto/upia\o
watertight	bu\to\ushui\/
whenever	wu/lu\nhe/shi/
will get you nowhere	xi/ngbuto-ng
wooden or rubber stamp or seal	chuo-
wrong side out or up	fa\/n
April	si\yue\
Chinese chestnut	ba\/nli\
Hollywood	ha\/ola/iwu\
Myanmar	<Burma mia\/ndia\n
Third World	di\sa-nshi\jie\
abstract number	bu\mi/ngshu\
add in	jia-ru\
agree	da-; to agree: di\ng; ke\/n; to/ngyi\
alpha	a-e\rfa\
anniversary	zho-unia/n; zho-unia/n
approve of	za\nya/ng
as it used to be	wa\/ngcha/ng
athlete	xua\/nsho\/u; yu\ndo\ngjia-; yu\ndo\ngyua/n
backbone	gu\/ga\n; ji/gu\/; lu; di\/nglia/ngzhu\; <cable zhu\/ga\nxia\n
basic issue	ji-chu\/we\nti/
be elected	da-ngxua\/n
be perfidious	be\ixi\nqi\yi\
become angry	bia\nse\
bias	pia-ncha-
blockage	du\/se\
bottom	di\/bu\; di\/; pi\gu
bright and clean	mi/ngji\ng
buried with dead	xu\n; xu\n
camera shot	<in a movie, etc ji\ngto/u
carry	da-n; he/; to carry: ti/; xie/; xie/da\i; za\i; za\ixie/; che/ng; da-n; so\ng; yu\nso\ng; <in one's arms ba\o; <on one's back fu\; <suspended di-; <of two or more persons ta/i; ba-nyu\n
centimeter	go-ngfe-n; li/mi\/
chemist	hua\xue/jia-
clam	ge/; li/
coalition	lia/nme/ng
commanding officer	si-li\ng
composite	zo-nghe/
conscientious	yo\/ulia/ngxi-n; bu\go\/u
converge	co\u; to converge: hui\ji/; <of rivers hui\
courageous	da\da\/n; yo\/uda\/nlia\ng
cross-bow	nu\/
cut up	fe-nge-
dealer	jia-oyi\zhe\/
deliberately create such problems	jie/wa\ishe-ngzhi-
detain	chi\; ko\uliu/; ko\uya-; <prisoner ju-liu/
dioscoreaceae	yu\
disregard	pa\n; zhi\zhi-du\wa\i; bu\we\n
dominate	zhi-pe\i; zhu\/za\/i; ba\/chi/; za\/izhi\; to dominate: to\/ngzhi\
drowned	mo\
eat a meal	chi-fa\n
electronic mail	dia\nzi\/yo/ujia\n
endlessly	bu\xiu-; bu\yi\/
escape	ta/ozhi-ya-oya-o; ta/ozo\/u; yi\; cua\n; bi\; to escape: ta/o; du\n; pa\/o
excess personnel	ro\/ngyua/n
extort a confession	bi-go\ng
farewell	jue/; so\ngbie/
fennel	hui/
financial securities	zhe\ngqua\n
flare	sha\/nlia\ng
following from that	sui/zhi-e/rho\u
former Soviet Union	qia/nsu-lia/n
frighten	do\ng; shi\/ha\ipa\; to frighten: xia\; she\
garish	hua-shao
get the materials ready	be\ilia\o
gloves	da\i
government warning	zhe\ngfu\/ji\/ngga\o
grizzly	hui-se\
hallow	she/nshe\ng
have ample food and clothing	fe-ngyi-zu/shi/
helmet	kui-; zho\u
hinge upon	qu\/jue/
horn-shaped	jia\/o
husband's parent	zha-ng
impasse	jia-ngju/
in order to do this	we\ici\/
incur	zha-ozhi\
inheritress	nuji\che/ngre/n
intercalary	ru\n
iron panel	tie\/ba\/n
journalism	xi-nwe\nxue/
kindness	bu\shi/ta/iju\/; re/nci/; de/
large bell	yo-ng
leadership meeting	sho\/una\/ohui\wu\
level or make smooth	ba\o
liquify	ye\hua\
long-range view	yua\/nji\/ng
luck with the opposite sex	ta/ohua-yu\n
make a descriptive record	<of events ji\shu\
mammal	bu\ru\/do\ngwu\
mate	pi-; ba\nlu\/; o\/u; pe\io\/u; to mate: pe\i
memorial tablet	pa/iwe\i
mill, millstones	mo\zi\/
mold	mo/zi; xu\n; ju\n; to mold: zhe-n
mournful	be-iqie\; be-ito\ng; chua\ng; xia-o
myna	ba-ge-e/r
neighbour	bi\/li/n
no doubt	wu/yi/
not care about one's appearance	bu\xiu-bia-nfu/
notepaper	bia\njia-n
obtain release	<from prison huo\shi\
on one's own	ji\ngzi\; da-ndu/
opposite to	xia\ng; xia\ng
out-and-out	bu\zhe/bu\ko\u
page	ye\; ye\; ba\/n
party policy	da\/ngzhe\ng
peep	kui-; to-uka\n; ka\n
personal gain	si-li\
pirate version	<of software, e.g. da\oba\/n
pluck	ca\/izha-i; to pluck: ba/dia\o
portion	yi-bu\fe\n; gu\/; fe\n
prepare feed	<for livestock be\ilia\o
procedure	che/ng
proudly	kua-ya\o; a\ora/n
put	fa\ngzhi\; to put: shi\; fa\ng; <at or in a position zhi\yu/; <someone to trial she\/npa\n
radish	luo/
real estate	bu\do\ngcha\/n; fa/ngdi\cha\/n
refill	<for a ball-point pen bi\/xi-n
remind	ti/xi\/ng
resident in	zhu\
rice flour meat	mi\/fe\/nro\u
root of Chinese pulsatilla	ba/ito/uwe-ng
ruthless	ku\
scamble	qia\/ng
searchlight	ta\nzha\ode-ng
semi-tenant peasant	ba\nzi\ge-ngno/ng
several decades	ji\/shi/nia/n
shoot	she\ji-; she\; da\/; to shoot: fa-she\; yi\
sight	shi\jue/; <to behold ji\/ngxia\ng
skinny	lua/n
smell bad	xiu\
sometime	mo\/ushi/; ri\ho\u
special	te/; te/shu/; te\di\ng; te\zhi\; zhua-nyo\ng; <-ly te\; <forces ji-ngga\n
spread out	ba\/i; ta-n; to spread out: zha\/n; pi-; <material pu-pi/ng
start from scratch	ba/isho\/uqi\jia-; to start from scratch: li\ngqi\/lu/za\o
stifle	zhi\xi-; bie-
string of small firecrackers	bia-npa\o
suckling pig	tu/n
surmount	zha\nshe\ng
tack	da\to/udi\ng
tangled	we\n
temperate	yo\/ujie/zhi\; jie/
there is no lack of	bu\fa/
throughout	<a period of time li\la/i
tomorrow	mi/ngri\; mi/ngtia-n
trample	jia\nta\; ro/u; chua\i; da\/o; jue/
tripod	di\/ng
twists and turns	bo-zhe/
uneasy	da-nxi-n; bu\a-n; cho-ng
untrue	bu\que\shi/
value added network	jia-zhi/xi/ngwa\/nglu\
victory	jie/; she\ngli\
waiter	fu/wu\yua/n; pa\/otangr2de; shi\zhe-
weak pulse	ruo\ma\i
whir	hu-hu-she-ng
wine shop sign	lia/n
work-study programme	ba\ngo-ngba\ndu/
yeast	jia\o; tu/
Bahrain	ba-li/n
Christianity	ji-du-jia\o
Internet service provider	fu/wu\ti/go\ngsha-ng
OK	me\/iha\/o
Vietnam	yue\na/n
accessary	ba-ngxio-ng
administration	xi/ngzhe\ng; gua\/nli\/
air war	ko-ngzha\n
amazement	ji-ngyi\
antecendents	la/ili\
arduous	xia\/nju\n; jia-nku\
ask a question	zhi\we\n
attain	da/; ga-oda/; to attain: da/da\o
bake	ho-ng; la\o; be\isha-o; ka\/o; to bake: be\i
bathtub	yu\pe/n
be great	ma\o
be short	<of que-sha\/o
bee	fe-ng
billows	bo-la/n; bo-ta-o
blunt	chu\/n; du\n; ge\/ng; ta\/nshua\i; tu-; zhi/jie/lia\/oda\ng; bu/ke\qi\
boy	na/nha/i; na/nha/izi\/; na/nhai/r; to/ng
brisk	huo/po
bustle about	be-nma/ng
canary	ji-nsi-que\
carving	ba\/nke\
chain	la/ng; lia\n; lia\nzi
child care	ba\/oyu\
classmate	<fellow to/ngxue/; to/ngba-nto/ngxue/
coerce	xie/po\; xie/; bi-po\
commode	ma\/zi
computer-aided instruction	dia\nna\/ofu\/zhu\jia\oca/i
consolidate at every step	bu\bu\we/iyi/ng
cooked	shu/
covet	ji\
crumple	no\ngzho\u
daily newspaper	ri\ba\o
decent	xia\ngya\ng; he/shi\
demolish sb	bo/da\/o
development cycle	ka-ifa-zho-uji-
directory	<computer mu\lu\
distinguish	bia\n; to distinguish: pa\nmi/ng; shi/bie/; jia\nbie/; qu-bie/
dormitory	su\she\
due to	yo/uyu/; yo/uyu/; ji-yu/; yo/u; che/ng
economic strength	ji-ngji\li\liang
eloquent	ni\ng; xio/ngbia\n
enhance	ze-ngji\n
ethnic Chinese person|people	hua/re/n
exempt	huo\mia\/n; to exempt: mia\/n; <from huo\
eyebrow	me/i; me/imao
fate	mi\ngyu\n; mi\ng
few years	ji\/nia/n
finesse	sho\/uwa\n
flesh	ji-; xue\ro\u
footbridge	ga-ng
forum	<for discussion lu\nta/n
froth	o-u
gather up	cuo-
ginseng	she-n
go for a walk	sa\nbu\
granary	a/o
grow	she-ngzha\/ng; ze-ngzha\/ng; zhi/; to grow: za-ipe/i; zho\ng; za-izho\ng; fa-zha\/n; she-ng; zha\/ng
handy	li/ngqia\/o; bia\nda\ng; bia\n
have one's eyes on	<a goal zhuo/ya\/n
herb	ba-; xia-ngca\/o
hoe	chu/; chu/to/u; no\u
hostility	di/yi\
ice	bi-ng
implicate	gu\/; le\i
in the evening	ba\ngwa\/n; wa\/nshang
indiscriminately	bu\fe-nqi-ngho/ngza\oba/i
inner feelings	zho-ng
internal struggle	guo/ne\izha\nzhe-ng
island	da\/o
jump	ba\o; lia/ng; tia\o; to jump: be\ng; tia\oyue\; yue\
knighthood	qi/shi\fe-ngge/
large wheel	ju\lu/n
learn to read	shi/zi\
lick and suck	tia\/nshu\/n
literature and art	we/nyi\
look forward to	ba-wa\ng; ba-bu\de/; pa\nwa\ng; to look forward to: qi-da\i; zhu\/wa\ng
luxuriance of vegetation	fu/
make a telephone call	da\/dia\nhua\
manifestation	bia\/oxia\n
may I ask	qi\/ngwe\n
mercy	ci/be-i
minister	<old qi-ng; che/n; bu\zha\/ng
monkey	ho/u; ho/uzi
movie	dia\nyi\/ng
napkin	ca-nji-n
network diameter	wa\/ngluo\zhi/ji\ng
nod	dia\/nto/u
not good enough	qia\njia-
nuclear	he/; he/zi
ode	so\ngci/
one after the other	lu\xu\
or writing brush	bi\/ma\o; bi\/ta\o
output value	cha\/nzhi/
palladium	ba\/
pastime	xia-oqia\/n
pendulum	ba\/i; zho-ngba\/i
pestle	chu\/; dui\
places of historic interest	gu\/ji-
point at issue	be\/nti/
postpone	ya/nqi/; to postpone: tui-chi/; zha\/n; hua\/n
presiding judge	she\/npa\nzha\/ng; ti/ngzha\/ng
proficient	ji-ngto-ng; shu/lia\n; a-nlia\n
pry	ci\ta\n
put on airs	ba\/ijia\zi\/
rainfall	yu\/lia\ng
reason	da\oli\/; li\/; li\/yo/u; yua/ngu\; yua/nyo/u; yi-n; gu\; yua/n; yo/u; yua/nyi-n; da\o
refuse to obey or comply	bu\fu/
renminbi	re/nmi/nbi\
respond to a poem with a poem	cho/uhe\
right-hand man	ba\/ngbi\
roundworm	hui/
safety	a-nqua/nxi\ng; a-nwe-i; a-nqua/n
scented	xia-ng
secret mark	a\nji\e/r
senior statesmen's assembly	yua/nla\/oyua\n
shabby	po\jiu\; bi\
short person	a\/izi\; a\/ige\e/r
silkworm	ca/n; ca/n
slave girl	bi\; ya-
snare	xia\nji\/ng; yo\uxia\n
sorrow	a-i
specimen	bia-obe\/n
squat	du-n; ju\
statement	fa-ya/n; she-ngmi/ng; she-ngmi/ngshu-; shuo-fa
stocking	cha/ngwa\
stronghold	pu\; ya\osa-i; zha\i; zha\i; ba\/o
suit	shi\yi\ng; yi-ta\o; to suit: shi\; shi\he/; ke\/
suspense	xua/nyi/
take a wife	hu-n; qu\/
tart	guo\/xia\nbi\/ng
tenderness	we-nhe/xi\ng
thick waterproof silk	jia-n
ticket window	sho\upia\oko\/u
top gem of pendant from girdle	he/ng
translucent	ba\nto\umi/ng
true colours	be\/nla/imia\nmu\
ubiquitous	pu\/ji/
ungrateful	wa/nge-nfu\yi\
uplift	ta/iqi\/
varying	shi/da\shi/xia\/o
vinegar	cu\
wall newspaper	bi\ba\o
weed	ba\i; to weed: pa\/ng; yi/; yu/n; ti\; chu/
white iron	ba/iko\/utie\/
wiring	bu\xia\n
wormwood	ha-o
young married woman	xi/fur
Book of Haggai	ha-ga-ishu-
Earth	di\qiu/
Japanese yen	<unit of currency ri\yua/n
Quality of Service	fu/wu\zhi\lia\ng
Windows based	shi\chua-ngji-zhu\/n
account	<bank, computer, etc. zha\nghu\; zha\ng; zha\ng; to account: zha\n
advanced level	xia-nji\nshui\/pi/ng
aldehyde	qua/n
amount to	de\/ngyu/
any	re\nhe/
armed	<forces wu\/zhua-ng
assertain	pi-
auntie	a-yi/
bamboo or wicker scoop	be\/nji-
be a suspect	<in a crime she\xia/n
be in front	li\/ngxia-n
be unable to	bu/ke\; bu\hui\
beginning or continuing an action	qi\/lai
birthday	da\nche/n; she-ngri\; da\n; <of an old person sho\uche/n
bombard	ho-ngji-
branches of a tree	cha\
broomcorn millet	shu\/
by coincidence	pe\ngqia\/o
canoe	du/mu\zho-u
casualties	sha-ngwa/ng
change direction	zhua\/nxia\ng
choose the best person available	a\/izi\li\ba/ijia-ngju-n
click one's tongue	ze/ze/; ze/
collect and process	ca\/izhi\
communications load	to-ngxi\nfu\za\i
concert	yi-nyue\hui\
constructive	jia\nshe\xi\ng; jia\nshe\
copy editor	bia-nshe\/n
crane	gua\n; he\; qi\/zho\ngji-
cultivate	ya\/ngzhi/; to cultivate: pe/i; pe/ixu\n; pe/izhi/; ge-ngzho\ng; za-ipe/i; <land tia/n
daphne genkwa	yua/n
decode	jie\/ma\/
departmental selfishness	be\/nwe\izhu\/yi\
dialog	dui\hua\
discard	bi\nchu/; diu-qi\; pa-oqi\; bi\nqi\; bi\n; to discard: ta\i; qi\zhi\; qi\
ditch	du/; go-u
draft	ga\/o; zhe-ngzha\o; to draft: hui\tu/; hui\zhi\; <a bill qi\/ca\/o; <legislation, proposal, etc. ca\/oa\n; <of a document ca\/o
dust off	da\/n
effect	che/ngxia\o; xia\o; to effect: yi\/ngxia\/ng; <eg, greenhouse effect xia\oyi\ng
embroidered work	ji\/n
enter a case in the records	be\ia\n
evening	mu\; wa\/n; xi-; ga\n; hua/nghu-n
expanse of water	wa-ng
factory history	cha\/ngshi\/
fear	ko\/ngju\; li\/n; da\n; ji\da\n; to fear: ju\; we\i; pa\; chu\; ko\/ng; she\
fifteen years	shi/wu\/nia/n
firing pin	zhua\ngzhe-n
flourescence	yi/nggua-ng
for the past few years	ji\nnia/nla/i
fowl	ji-; ye\/qi/n
fumigate	xu-n; xu-n
general merchandise	ba\/ihuo\
give in	ra\ngbu\
go to the office	sha\ngba-n
grassy	ru/ca\/o; cui\
guardian	jia\nhu\re/n
hard disk	yi\ngpa/n; yi\ngci/pa/n
hazy	lo/ng
heterogeneous network	yi\zhi\wa\/nglu\
hold or offer with both hands	pe\/ng
housing	zhu\fa/ng
identical	qua/nto/ng; to/ngyi-; xia-ngto/ng; <views or opinions yi-zhi\
improper	bu\dua-n; bu\he/shi\; bu\da\ng
in time	ji/shi/
industry association	qi\/ye\ji/tua/n
insensible	me/iyo\/uzhi-jue/
interval	jia\nge/; ji\
it is the fashion to	xi-ng
just when	<needed zhe\ngda-ng
kohlrabi	la
lasting peace	yo\/ngjiu\/he/pi/ng
leave without saying good-bye	bu\ci/e/rbie/
lifetime	be\izi; bi\she-ng; ba\/inia/n; be\i
living quarters	su\she\
lordship	gui\zu/she-nfe\n
magic	mo/shu\; me\i
make headway	ji\nzha\/n
many	duo-; fa/nza/; xu\/duo-; da\duo-; fa/n; huo\/; ta\; zhu-; cho/u
measure with one's hand or arm	bi\/shi\
meteorolgy	qi\xia\ng
miserly	bi\/li\n
mora	ca-iqua/n
multicast address	duo-zha\ndi\zhi\/
nationalism	mi/nzu/zhu\/yi\
neutron	zho-ngzi\/
non-working day	jia\ri\
not mind	bu\za\ihu-
number	<ordinal ha\o; bia-nha\o; ha\oma\/; shu\; shu\zi\; <of times ci\
offer sacrifice to	si\
one week	yi-zho-u
ordinary	bia\n; fa/n; pi/ngcha/ng; shu\; yo-ng
over the last ... years	nia/nla/i
pants	ku\zi; ku\
patrol	luo/; to patrol: xu/n
per	lu\n
phonograph	dia\ncha\ngji-
