Buddhist monk's robe	jia-; sha-
lumpy	le\/i
make a living	guo\huo/; to make a living: we/ishe-ng
manacles	gu\
mathematics	shu\xue/
menstrual period	li\ja\
millstone	mo\shi/
momentary	shu\njia-n; yi\shi/
movable	ke\/do\ng
mythical creature	yu\
nephew	she-ng; wa\ishe-ng; <of the same surname zhi/
no more than	bu\guo\
not enjoy popular support	bu\de/re/nxi-n
notification	to-ngzhi-
occupy a post	xia\nre\n
on the spot	da-ngcha\/ng; da-ng
optical fiber	gua-ngxia-ndia\nla\/n; gua-ngxia-n
outer coffin	guo\/
paint	qi-; ya/nlia\o; to paint: hui\
passenger	che/ngke\
pelvis	kua-n
perspective	to\ushi\; qia/nji\/ng
pitfall	ji\/ng
plunder	jie/; lue\; lue\duo/; da\o; to plunder: lue\
possess	ba\oyo\/u; ju\yo\/u; yo\/uzhe; to possess: yo-ngyo\/u; suo\/yo\/u
present	che/ngso\ng; zhe\ci\; to present: che/ngdi\; jie\sha\o; che/ng; <with so\ng
procure	cu\che/ng
provide for	sha\n
put forth effort	ma\i
rage	hui\; cua-n
realization	ti\/re\n
reform school	go-ngdu/xue/xia\o
remote operation	ya/oko\ngca-ozuo\
resound with laughter	ho-ng
riddle	mi/
rostrum	zhu\/xi/ta/i
sacrificial offering	go\ng
scarecrow	da\oca\/ore/n
second	di\e\rci\; bo/zho\ngshu-ji\; mia\/o; <of two parts xia\
seminary	she/nxue/ya/njiu\suo\/
severe	ke-; li\; ya/nli\; ya/nju\n; ya/nju\n; ya/nzho\ng; ju\
shopkeeper's strike	ba\shi\
signal	xi\nha\o; to signal: hui-
skyscraper	mo/tia-nlo/u
smoke and fire	ya-nhuo\/
song lyric	ge-ci/
specialize	zhua-nme/nhua\
sprite	lia\/ng
starvation	e\si\/
sting	ci\; to sting: shi\; zhe-; zhe-; <of mosquito di-ng
stripping ratio	bo-ca\/ibi\/
suffcient	cho-ng
surround	ba-owe/i; to surround: hua/nra\o; we/i; hua/n
tail feathers	li/ng
tapir	mo\
temptation	yo\uhuo\
thereby	co/nge/r
throwing weapon	bia-o
tonne	go-ngdu-n
transfer	dia\odo\ng; yi/jia-o; zhua\/nso\ng; to transfer: hau\; zhua\/n; chua/n; <technology, goods, etc. zhua\/nra\ng
trophy	ji\nia\njia\/ng
two-thirds	sa-nfe-nzhi-e\r
unexpectedly	bu\lia\o; bu\yi\; chu-hu-yu\lia\o; ji\ng; ji\ngra/n
unworthy	bu\xia\o; bu\zhi/de
vapor	shui\/zhe-ngqi\; fe-n; qi\; xie\
viewpoint	gua-ndia\/n
walk around	xia-n; to walk around: xue/
wearily	pi/la/o
whistle made of reed	jia-
winnowing fan	bo\ji-
workstation	<computer go-ngzuo\zha\n
yield	qia-njiu\; xu\n; qu-fu/; ra\ngwe\i; ra\ngbu\; ra\ng; cha\/nshe-ng
Bengalese	me\ngjia-la-yu\/
Congress	guo/hui\
It is important that	zho\ngya\odeshi\
Paris	ba-li/
Washington Times	<newspaper hua/she\ngdu\nshi/ba\o
accompanying	sui/to/ng
admittedly	<it's true that gu\ra/n
airport	fe-iji-cha\/ng; ji-cha\/ng
amenorrhoea	bi\ji-ng
anti-foreigner	pa/iwa\i
argue over	bia\nlu\n
aspirated	tu\/qi\
attentive	zi\/xi\; zho-u
baleful	sha\
battlements	die/
be impassable	bu\to-ng
be straight and stiff	ti\/ng
before deadline	a\nshi/
binzi	bi-nzi
boat	ha/ng; xia\/ochua/n; zho-u; chua/n
bracket light	bi\de-ng
broadcast	bo-fa\ng; bo-so\ng; gua\/ngbo-; bo-yi-n; bo-; <on radio or TV zhua\/nbo-
butterfly	die/; hu/; hu/die/; jia/
cangue	jia-
cask	mu\to\/ng
chamber pot	bia\nto\/ng; bia\nhu/
chin	ha\n; ke-; ke/; xia\ba
cleaner	qi-ngjie/qi\
coins	bi\
common perch	lu/
conceal from	ma/n
constant	bu\bia\n; yi-gua\n
cool off	le\/ngque\
crab	pa/ng; xie\
crying sound of child	gu-
damages	<be awarded damages suo\/pe/i
decisive	jue/di\ngxi\ng; guo\/dua\n
dense	cho/u; cho/umi\; <growth yu\
devoid of content	xu-
disagreeable	bu\yu/kua\i
distributed	fe-nbu\; fe-nsa\nshi\
doubt	hua/iyi/; to doubt: hua/iyi/; yi/
dung	fe\n
edge of blade	re\n
embarrassed	jio\/ng
enmity	cho/u; di/yi\; cho/u
europium	yo\/u
exhausting	xi-nku\/
face about	zhua\/nshe-n
fatigue etc	chi-buxia-o
fief	ca\/iyi\
fins	qi/
flit about	fa-n
for example	bi\/ru/; ju\/li\la/ishuo-; li\ru/
founding fathers	<of a country ka-iguo/yua/nxu-n
fruitless	bu\jie/guo\/
gaze intently	da-n
give a hand	ba-ngma/ng
go on foot	bu\xi/ng
grandparents	zu\/
grudge	<longstanding e-nyua\n; yi/he\n; xia\
happen to	li/; to happen to: pe\ngqia\/o
have the feeling that	ga\/nda\o
herewith	zi-
hold an office or post	go\ngzhi/; re\nzhi/
hound somebody to death	bi-si\/
ice skates	bi-ngda-o
import|export	ji\nchu-ko\/u
in the ordinary course of events	a\nshuo-; a\nli\/
individuality	ge\xi\ng
inquire	fa\/ng; xu/n; cha/; cha/dia\o; she-n; zhi\we\n; to inquire: cha/xu/n
interplanetary	xi/ngxi-ngji\
issue for enforcement	ba-nxi/ng
jurisdiction	si-fa\/qua/n
knot of hair on top of head	hua/n
laser	ji-gua-ng; le/ishe\
leave	bie/; bie/li/; bi\; to leave: ga\obie/; li/; li/; li/ka-i; qu\; qu\; bi\; <it lia\o; <message liu/
lie prostrate	pu/
little tuna	we\/i
look upon as	da\ngzuo\; ka\nzuo\
machine language	ji-xie\yu\/ya/n
make an utmost effort	ji/li\
manpower	re/nsho\/u; la/odo\ngli\
mead	fe-ngmi\jiu\/
meso-	<chem. xi-n
minuature	we-ixi/ng; we-i
monthly meeting	yue\fe\nhui\yi\
much	fe-icha/ngduo-; duo-
narrow-minded	xia/
network manager	wa\/nggua\/nyua/n
noiselessly	wu/she-ng
not just a few	bu\sha\/o
nuclear material	he/yua/nlia\o
of the world	shi\jie\sha\ng
one in a hundred	ba\/ili\/tia-oyi-
orbit	gui\/da\o
outside world	wa\ijie\
pan with a long handle	dia\o
paternal grandfather	ye/ye
pennant	pe\i
pharmaceuticals	ya\owu\
plain thin silk	ma\n
poke through	to\/ng
potential threat	qia/nza\iwe-ixie/
press release	zo-nghe/ba\oda\/o
profoundly	she-na\o
public key	<in encryption go-ngka/iya\oshi
put to use	yu\nyo\ng
raise up	shu\qi; so\/ng; ze-ngga-o
rebellion	ba\odo\ng; ba\olua\n
regardless of	bu\gu\; bu\gua\/n; bu/lu\n
repair	xiu-li\/; to repair: bu\/; qi\
rest in	za\iyu/
rigorous	ya/nju\n
rover	liu/la\ngzhe\/
saint	she\ngre/n; she\ngtu/; she\ng
scholarship	jia\/ngxue/ji-n; ca/ixue/
sect	jia\opa\i; pa\ixi\; zo-ngpa\i
sensitive	li/ngmi\/n; shi/xia\ng; <issue mi\/nga\/n
shafts of cart	yua/n
short-term	dua\/nqi-
similarity	xia-ngsi\zi\ng
sleeping	shui\mia/n
sniff at	we/n
sound of crashing	pe-ng
speculate	tui-ce\
squirrel	so-ngshu\/
statistical results	to\/ngji\jie/guo\/
stone plinth	sa\/ng
stub	cu/nge-n
sultriness	me-nre\
swap	jia-ohua\n
take care	da-ngxi-n; <of gua\/n; ba\/ogua\/n; to take care of: ka-n; ga\/o
tattered	lu
tentacles	chu\xu-
thin section	bo/pia\n
